|invoiceId|custId|batchId|item_summary.paper|item_summary.rock|item_summary.scissor
0|889178|z262|fu215|10.0|41.0|
1|8865|z248|de790|38.0||
2|327260|x446|qs103|43.0|49.0|25.0
3|944594|u224|kr995|18.0||
4|438539|z350|ht985|18.0||32.0
5|123821|t300|vx130|||20.0
6|711320|d833|ht387|9.0|45.0|30.0
7|917462|w415|gj318||34.0|
8|273319|b677|sv682|6.0||3.0
9|412224|z601|gl751|47.0||
10|485002|m094|fs065|40.0|27.0|29.0
11|72055|z768|or809|1.0|13.0|3.0
12|136656|f745|vb943|11.0|12.0|19.0
13|17483|f661|ml544||8.0|
14|549604|c263|sj443|||28.0
15|590064|f271|vm792||30.0|7.0
16|580127|d479|gf196||40.0|43.0
17|78073|b070|kb215|4.0|1.0|20.0
18|413677|s068|bl560|4.0|43.0|33.0
19|887352|d541|vb943||9.0|7.0
20|358790|j310|mx945|47.0||45.0
21|664798|z575|qq662|||25.0
22|303951|v784|jl276|32.0|21.0|22.0
23|87621|n625|ej327|34.0||
24|657672|a409|kg058|26.0||47.0
25|58439|k059|lu619|31.0|34.0|49.0
26|227424|d987|hn199|5.0|35.0|21.0
27|52602|v727|zn873|12.0|17.0|15.0
28|658924|z111|hf554|10.0|33.0|18.0
29|302184|d765|hd664|34.0|26.0|
30|714190|t338|zw613|20.0|36.0|46.0
31|370170|a493|pg843||45.0|6.0
32|547912|m966|ze958|20.0|12.0|6.0
33|758992|o151|cl248||50.0|
34|170478|b013|qe341|43.0|21.0|24.0
35|381330|q090|ue124|14.0||23.0
36|402205|x860|cs711|9.0||
37|775589|m576|fg117|||13.0
38|671218|d186|ux393|21.0||24.0
39|298449|n581|ni562|33.0||
40|317466|p676|st192|17.0|31.0|
41|520735|h338|me829|46.0||
42|373481|t581|pf044|30.0|15.0|7.0
43|409650|u265|sd980|2.0|36.0|
44|361647|v506|cz377|8.0||
45|160963|a306|xh196||49.0|3.0
46|886408|i362|se229|46.0|26.0|33.0
47|210543|m357|yg675|14.0|46.0|
48|11778|f327|co339|47.0||
49|657791|q284|qh132|47.0|47.0|40.0
50|648815|k260|cw008|40.0|50.0|36.0
51|634197|d831|zl860|23.0||
52|608484|g836|hd664||10.0|13.0
53|478358|c490|df591||44.0|29.0
54|608643|n328|sk444|1.0|19.0|42.0
55|964289|n577|xk892|||35.0
56|730692|g110|xd630|14.0|28.0|
57|713078|h037|xv662|1.0|49.0|50.0
58|606751|n732|ou037||1.0|32.0
59|494120|x883|lo606|16.0||
60|696409|e637|wj228|11.0||47.0
61|236287|k205|ui092|||19.0
62|196548|u509|ov562||26.0|43.0
63|160682|k619|mk906|8.0|42.0|18.0
64|677535|b677|yq847|10.0|50.0|
65|449641|w415|oy747|34.0|36.0|
66|832101|b261|fp058||17.0|
67|941693|e359|xh081||3.0|15.0
68|154406|x597|cz735|18.0||
69|682153|j907|ec420|38.0|33.0|22.0
70|391259|o146|lh332|32.0||30.0
71|493751|w865|xm759|21.0||32.0
72|488223|k372|dg835|45.0|23.0|7.0
73|690604|q580|kb215||30.0|40.0
74|641849|s417|ob258||20.0|3.0
75|829554|p412|qa882||11.0|
76|219862|z169|gq698|41.0|20.0|
77|874936|x238|ak745|||44.0
78|501199|m469|le443|24.0||1.0
79|326008|h798|is542|||25.0
80|139424|d953|sb894|25.0|32.0|16.0
81|760037|p842|cx354|45.0|37.0|
82|584583|j356|fk141||13.0|17.0
83|676297|o201|yl833|42.0|2.0|
84|332066|d888|jn913|22.0|41.0|
85|174145|l693|bq422||44.0|
86|774552|m357|wk824||7.0|
87|288599|a839|cp882|||5.0
88|51176|j655|dj258||35.0|42.0
89|67771|w108|gu069|||28.0
90|439810|c387|nz615|||42.0
91|876612|c979|ej327|5.0|20.0|20.0
92|39910|q034|vr914||13.0|
93|617896|f783|if867|22.0|29.0|14.0
94|980567|s176|go023|17.0||
95|801932|a030|wv425|11.0|8.0|11.0
96|378949|c287|ry452|46.0|31.0|6.0
97|359440|y112|ht985|41.0|15.0|4.0
98|216504|i191|mq248|30.0|43.0|
99|45238|g730|dg739|32.0|38.0|
100|397616|m414|ix658|6.0|49.0|50.0
101|728562|g006|il121|47.0||
102|3061|v551|xv305||15.0|37.0
